QUALIFICATION,Category
कक्षा 10 सम्म,SLC
स्नातक कानून,Bachelor
टेस्ट पास,SLC
S.L.C. अनुत्रिर्ण,Under SLC
स्नाकोत्तर चिकित्साशास्त्र,Masters
स्तानक,Bachelor
स्नातकोत्तर (व्यवस्थापन र एल.एल.बि,Masters
MPhil,Masters
Diploma,2
10 Pass,SLC
Ma,Masters
2,2
स्नातोक्तर र एल एल बी,Masters
समकक्षता,
10+2 Pass,2
स्नातकोत्तर (वातावरण विज्ञान),Masters
BSC,Bachelor
पि एच डी ,PHD
वि.एल ,Bachelor
Bechalor,Bachelor
स्नातज,Bachelor
"MA Sociology, MA Buddhism",Masters
MA ,Masters
स्‍नातकोत्तर राजनीतिशास्त्र,Masters
bachloar,Bachelor
Proficiency Certificate I.Com,2
phd desserification,PHD
बि.बि.एल.,Bachelor
I.Com.,2
२,2
Master LLM,Masters
M. Ed,Masters
S.L.C. (Isc. अध्ययन,SLC
स्नातकोत्तर राजनीति शास्त्र,Masters
एम. पि. एच.,Masters
१२,2
२,2
"BK, MA",Masters
"BA, B.ed",Bachelor
SlC,SLC
